Date,Price,Open,High,Low,Vol.,Change %
02/28/2003,128.05,128.05,128.05,128.05,,-0.39%
02/27/2003,128.55,128.55,128.55,128.55,,0.00%
02/26/2003,128.55,128.55,128.55,128.55,,0.00%
02/25/2003,128.55,128.55,128.55,128.55,,-0.12%
02/24/2003,128.7,128.7,128.7,128.7,,0.04%
02/21/2003,128.65,128.65,128.65,128.65,,-0.08%
02/20/2003,128.75,128.75,128.75,128.75,,0.00%
02/19/2003,128.75,128.75,128.75,128.75,,0.45%
02/18/2003,128.175,128.175,128.175,128.175,,-0.52%
02/17/2003,128.85,128.85,128.85,128.85,,-0.08%
02/14/2003,128.95,128.95,128.95,128.95,,0.08%
02/13/2003,128.85,128.85,128.85,128.85,,0.27%
02/12/2003,128.5,128.5,128.5,128.5,,0.00%
02/11/2003,128.5,128.5,128.5,128.5,,-0.27%
02/10/2003,128.85,128.85,128.85,128.85,,0.47%
02/07/2003,128.25,128.25,128.25,128.25,,-0.77%
02/06/2003,129.25,129.25,129.25,129.25,,0.78%
02/05/2003,128.25,128.25,128.25,128.25,,-0.04%
02/04/2003,128.3,128.3,128.3,128.3,,0.12%
02/03/2003,128.15,128.15,128.15,128.15,,-0.43%
01/31/2003,128.7,128.7,128.7,128.7,,0.35%
01/30/2003,128.25,128.25,128.25,128.25,,0.00%
01/29/2003,128.25,128.25,128.25,128.25,,-0.66%
01/28/2003,129.1,129.1,129.1,129.1,,-0.12%
01/27/2003,129.25,129.25,129.25,129.25,,0.19%
01/24/2003,129,129,129,129,,-0.19%
01/23/2003,129.25,129.25,129.25,129.25,,-0.08%
01/22/2003,129.35,129.35,129.35,129.35,,0.23%
01/21/2003,129.05,129.05,129.05,129.05,,0.08%
01/20/2003,128.95,128.95,128.95,128.95,,-0.39%
01/17/2003,129.45,129.45,129.45,129.45,,0.00%
01/16/2003,129.45,129.45,129.45,129.45,,1.13%
01/15/2003,128,128,128,128,,-1.04%
01/14/2003,129.35,129.35,129.35,129.35,,0.31%
01/13/2003,128.95,128.95,128.95,128.95,,0.12%
01/10/2003,128.8,128.8,128.8,128.8,,-0.04%
01/09/2003,128.85,128.85,128.85,128.85,,0.27%
01/08/2003,128.5,128.5,128.5,128.5,,0.00%
01/07/2003,128.5,128.5,128.5,128.5,,-0.43%
01/06/2003,129.05,129.05,129.05,129.05,,-1.04%
01/03/2003,130.4,130.4,130.4,130.4,,0.23%
01/02/2003,130.1,130.1,130.1,130.1,,2.56%
01/01/2003,126.85,126.85,126.85,126.85,,0.00%
12/31/2002,126.85,126.85,126.85,126.85,,0.00%
12/30/2002,126.85,126.85,126.85,126.85,,0.04%
12/27/2002,126.8,126.8,126.8,126.8,,-0.08%
12/26/2002,126.9,126.9,126.9,126.9,,0.00%
12/25/2002,126.9,126.9,126.9,126.9,,0.00%
12/24/2002,126.9,126.9,126.9,126.9,,0.20%
12/23/2002,126.65,126.65,126.65,126.65,,-2.91%
12/20/2002,130.45,130.45,130.45,130.45,,-1.17%
12/19/2002,132,132,132,132,,-0.71%
12/18/2002,132.95,132.95,132.95,132.95,,1.60%
12/17/2002,130.85,130.85,130.85,130.85,,0.00%
12/16/2002,130.85,130.85,130.85,130.85,,1.55%
12/13/2002,128.85,128.85,128.85,128.85,,0.04%
12/12/2002,128.8,128.8,128.8,128.8,,-0.19%
12/11/2002,129.05,129.05,129.05,129.05,,0.16%
12/10/2002,128.85,128.85,128.85,128.85,,0.66%
12/09/2002,128,128,128,128,,-0.43%
12/06/2002,128.55,128.55,128.55,128.55,,0.12%
12/05/2002,128.4,128.4,128.4,128.4,,-0.08%
12/04/2002,128.5,128.5,128.5,128.5,,0.39%
12/03/2002,128,128,128,128,,0.00%
12/02/2002,128,128,128,128,,-0.62%
11/29/2002,128.8,128.8,128.8,128.8,,0.66%
11/28/2002,127.95,127.95,127.95,127.95,,-0.35%
11/27/2002,128.4,128.4,128.4,128.4,,-0.19%
11/26/2002,128.65,128.65,128.65,128.65,,0.23%
11/25/2002,128.35,128.35,128.35,128.35,,0.12%
11/22/2002,128.2,128.2,128.2,128.2,,0.20%
11/21/2002,127.95,127.95,127.95,127.95,,-0.08%
11/20/2002,128.05,128.05,128.05,128.05,,0.00%
11/19/2002,128.05,128.05,128.05,128.05,,0.16%
11/18/2002,127.85,127.85,127.85,127.85,,0.00%
11/15/2002,127.85,127.85,127.85,127.85,,0.00%
11/14/2002,127.85,127.85,127.85,127.85,,0.04%
11/13/2002,127.8,127.8,127.8,127.8,,0.16%
11/12/2002,127.6,127.6,127.6,127.6,,-0.43%
11/11/2002,128.15,128.15,128.15,128.15,,0.12%
11/08/2002,128,128,128,128,,-0.23%
11/07/2002,128.3,128.3,128.3,128.3,,-0.08%
11/06/2002,128.4,128.4,128.4,128.4,,0.43%
11/05/2002,127.85,127.85,127.85,127.85,,0.43%
11/04/2002,127.3,127.3,127.3,127.3,,0.12%
11/01/2002,127.15,127.15,127.15,127.15,,-0.16%
10/31/2002,127.35,127.35,127.35,127.35,,0.00%
